"givenName","surName","Department","phone"
"Hans","Hansen","HR","12345678"
"Lena","Larsen","Consultant","87654321"
"Erik","Eriksen","Sales","12345623"
"Anna","Andersen","Sales","12313445"
"Ola","Olsen","Finance","98765321"
"Svein Erik","Åkvik","Consultant","12345678"
"Åge","Solheim","Consultant","12335478"
"Frikk","Frikkson","Consultant","12233484"
"Øystein Vik","Øysteinsson","Consultant","12345678"
"Per","Person","Consultant","12123371"
"Synne","Synnesdatter","Consultant","16545678"
"André","Andresen","Consultant","12343278"
"Frank","Viken","Consultant","98345678"
"Heidi","Jensen","Consultant","56345678"
"Terje","Færjeland","Consultant","15565678"
